,C_Catenin (Beta),C_Cyclin D1,C_Cytokeratin 18,C_Cytokeratin 7,C_DNA,C_E-cadherin,C_EGFR,C_HES1,C_LC3A/B,C_MET,C_NDG1 (p-T346),C_NFkB (p65),C_PDL1,C_S6,C_S6 (p-S235/S236),C_S6 (p-S240/244),C_STAT1 (alpha-isoform),C_STAT1 (p-S727),C_STAT3,C_Vimentin,C_c-Jun,C_ki67,C_p21 (Waf1/Cip1)
5_cell_E05_fld3_9,10.18194918,7.009366122,10.29118283,9.12200167,10.24649625,8.685440394,9.969839129,11.54214092,3.963586755,7.295053319,7.093223006,9.985960487,5.276595797,13.01297585,10.57689179,12.45509322,8.602405595,8.399064637,10.53682631,4.838262343,7.562262235,9.832435954,3.864725431
5_cell_E05_fld3_10,6.880453982,2.757718782,6.176996858,5.144159416,7.292397536,4.197902501,6.644323727,6.360886238,2.49411103,3.902395296,6.219451796,7.575787734,3.288145531,7.326185357,4.325277696,6.507682552,5.092938056,4.041546849,7.334489646,0.270698591,3.859913355,2.515544671,2.793622918
5_cell_E08_fld8_1,9.063097846,4.114629022,10.0046752,7.540670054,8.431093272,7.561861469,7.522023709,10.2951262,4.179855213,6.296608159,7.455227514,9.583109004,4.736766123,10.9222448,8.363190658,10.49513975,8.261954702,5.484928752,9.858311482,3.943982399,6.037211415,4.57919463,6.066513457
5_cell_E08_fld8_3,7.739346111,4.996365255,8.725749492,7.003797,9.150812318,5.867984786,8.481804775,9.389388738,3.110536707,5.962243526,7.240962185,8.89839588,4.673122024,10.11044061,7.936405702,10.05398967,7.399713015,5.362541478,9.426621788,3.294365647,5.958769974,7.582663585,5.039036756
5_cell_E08_fld8_4,7.833480738,4.355110021,9.379945244,6.726064569,9.093435191,4.806620918,8.062090178,9.555694064,2.436025483,6.183493615,7.869408574,8.656670697,4.198470936,10.30059895,8.513422796,10.38495817,6.993404977,5.058200638,8.800347551,2.918970233,5.862022895,6.733778842,3.525515194
5_cell_E08_fld8_5,9.593637747,5.848043313,9.834976775,8.428145561,9.274722122,8.1574051,9.335288159,11.92984759,3.574770409,7.513409121,8.004548323,9.565635509,5.665555689,11.8717532,9.822631392,11.69318072,8.488802337,6.433706738,10.01090337,5.391453782,6.557949473,7.957518776,5.371050819
5_cell_E08_fld8_6,6.877001739,2.762179376,7.772759981,5.84412959,7.761278402,4.373056742,6.002721137,7.178385197,1.389031924,4.979509832,5.784554374,7.870545285,3.476936252,8.824207467,6.280663186,8.334247855,5.705772283,4.657271871,8.29280826,1.391064531,4.273883934,3.371546647,3.606581208
5_cell_E08_fld8_7,8.714797316,5.090654267,9.305124176,7.622461215,9.016768528,6.961555047,8.551120736,10.61805503,2.695643236,6.428382409,6.328952991,8.829744654,4.924261263,10.3747224,8.213990044,10.13832784,7.54344403,5.49900333,9.210660261,5.061629278,5.781801327,7.680434903,4.940980482
5_cell_E08_fld8_8,7.403224552,3.19769844,7.758771151,5.919195563,8.403109777,4.791769767,6.845605743,7.616709729,1.418550521,4.823934762,7.353824059,8.14546517,3.167070666,9.25661306,6.923524255,8.889505807,6.150991582,4.696052104,8.070985406,2.43904407,5.150963504,5.413723991,2.11562114
5_cell_E08_fld8_9,7.884908713,3.498804255,8.838593116,6.346559855,9.680652362,5.159140517,7.195513909,9.495681984,1.651435317,6.467267238,4.74259553,8.773390877,4.140143987,10.798462,8.520465849,10.52282887,7.304729972,5.61425926,9.154612695,3.467161184,5.532181888,6.638763372,3.773943378
5_cell_E08_fld8_10,8.378489623,3.715640057,7.629913761,6.754590938,8.218723869,5.790163026,7.547527618,8.533387558,2.137429806,6.107661285,5.623686903,8.495030686,3.838693279,9.433781056,7.371447176,9.445445013,6.619932733,5.074180377,8.510495093,2.766712039,5.339992917,6.290874203,4.822189669
5_cell_E08_fld8_11,9.29427553,5.000959457,8.363122587,7.03772763,8.956464919,7.578611633,7.972457626,10.91632005,3.011139652,6.808871924,5.911778612,9.436873842,4.907936181,10.76611502,8.815836067,10.28475814,7.864722869,5.899122416,9.899290948,2.321627942,5.792793092,6.699948829,6.495712867
5_cell_D06_fld2_1,8.801121334,4.193044977,11.57342504,6.684353896,9.72036636,5.369088084,8.06098389,10.21745701,2.745838592,7.157940073,10.83227436,9.705091026,5.129329621,11.81960078,9.238129018,11.30267307,8.560102793,6.158040246,10.11000982,3.483402159,6.115855348,8.107797948,3.39189822
5_cell_D06_fld2_2,9.325471663,4.915539336,12.5409248,7.107034218,9.742995154,7.600380076,9.358508715,10.10342177,2.906039493,7.082879664,8.936112643,9.86353036,5.104756566,11.23198261,8.751981741,10.86405704,8.325262015,5.906723776,9.91248481,4.052615255,6.056715883,7.348998689,3.201450276
5_cell_D06_fld2_3,9.557225726,4.503883116,10.11473179,7.540096601,8.914004858,7.614065155,7.565367114,9.77247669,2.437358786,6.797396759,8.937516921,9.225991416,4.733193106,10.48237009,8.353055253,10.09953951,7.446494873,7.025000985,9.872407517,3.61549178,5.608772582,7.213835385,3.763013578
5_cell_D06_fld2_4,7.435211119,2.62987682,8.073260431,5.064668306,7.826209489,5.370474588,6.619410271,6.571726125,1.500327042,3.85351121,8.355691135,7.547815609,3.596588235,7.421257748,4.706091995,7.023515424,6.17408927,4.340997771,8.001834812,1.0413192,3.872131173,4.124031132,2.999799324
5_cell_D06_fld2_5,8.853665125,3.882797284,11.583,6.881016855,9.300615557,7.009200805,8.739003354,8.989837077,2.957431884,6.605580458,7.216789761,9.660948473,4.886379854,10.69238638,8.055775108,10.36827704,7.678062334,5.605183096,9.855091564,3.674474951,5.727321908,5.668635873,2.457178046
5_cell_D06_fld2_6,8.197752961,3.617712362,9.379677175,6.833848277,8.583240765,6.886943649,8.284922068,8.398870983,2.405360263,5.704238313,4.687625381,9.172081486,4.084977955,9.35561508,7.017067014,8.743514557,7.420313109,4.725569122,10.49506904,1.928701035,5.646673655,5.94377637,2.271507611
5_cell_D06_fld2_7,8.861616124,3.818434208,10.27299381,6.891735333,9.286103568,5.933331223,8.910194782,8.739235824,2.867231184,6.571764676,9.278839921,9.380538206,4.99861791,10.07951291,6.779303137,9.372869852,7.32158442,5.770495963,9.885241462,2.066513823,5.744191643,6.305032581,3.337959526
5_cell_D06_fld2_8,8.152085052,3.422415589,9.706886227,6.762086947,9.538812176,6.408259669,7.971507413,8.288916773,2.364694914,5.555050513,4.47221312,9.039491752,4.07772767,9.414439162,6.269088937,8.273935152,7.466468073,4.796641527,10.50530671,2.597570417,5.499415075,7.273924283,2.822430066
5_cell_D06_fld2_9,8.455928947,2.425040969,9.824806775,6.349284087,9.194974592,5.719395446,8.488475897,8.201136046,3.265900701,5.758658924,9.016058265,8.933677364,4.29383965,10.28722248,7.865819947,9.999778705,7.364802146,5.367440182,9.409379017,3.215535763,5.251953656,6.32045997,2.810389765
5_cell_D06_fld2_10,7.077024889,2.594045994,6.737236943,5.916411067,7.869214647,5.201770627,6.319846397,6.524879403,2.772889834,3.88954747,4.824457971,8.136957629,3.257553923,8.20367946,6.314540392,8.340536301,6.56730334,4.347279549,9.721448672,1.734132388,4.539264108,5.26115353,2.0182358
5_cell_C04_fld2_1,8.396808532,3.597876846,9.87834742,7.726775308,8.803052836,4.836017441,7.559219817,10.45473577,2.638749062,6.887655962,5.945605742,8.952537739,5.831432298,9.993363915,6.801778418,9.25308746,7.201488518,5.346712894,9.440512168,4.18350941,5.655688712,5.103971662,3.027845415
5_cell_C04_fld2_3,9.090800519,4.955510426,10.65933665,7.627897135,8.858836617,6.987710002,8.709332745,9.092622138,2.629899243,7.091112385,4.693922085,9.359119604,5.432942944,10.2215826,7.214880717,9.520045989,7.006739396,5.961848325,9.868455154,4.171313881,5.396794496,6.238421311,3.126579323
5_cell_C04_fld2_5,8.433327639,3.211754608,10.08842924,6.893330807,8.246927523,6.448797002,7.557797453,8.500542882,2.192521374,6.013562394,5.011713627,8.976919447,5.192398356,9.769720346,7.535025736,9.656573437,6.565284603,5.311295664,9.773458482,3.275797089,4.788574122,5.332222883,3.952302634
5_cell_C04_fld2_6,9.015198867,3.526263308,10.60180017,7.432095699,9.146328471,6.886286957,7.770989785,8.773628121,2.087321269,7.080157709,5.435654172,9.357333375,5.277226851,10.84772266,8.937672905,10.90276982,6.951105306,5.681566865,9.425931979,3.626716688,5.661820012,6.213327397,3.254025306
5_cell_C04_fld2_8,9.132911371,3.690931899,11.69209525,7.614376072,9.19545589,8.072769887,8.105301875,9.503767815,2.242354216,7.605368381,6.819977693,9.526174869,5.272760884,11.59223037,9.10123114,11.20145057,7.591296119,6.015079359,10.12513446,3.907002123,5.861378434,6.252347482,3.85931454
5_cell_C04_fld2_9,8.798544559,4.215576975,10.72236057,7.986494634,9.328542058,7.580026424,7.619181425,8.721778817,2.877708637,7.226288581,7.418443656,9.425058727,6.092754675,11.13822724,9.037433378,11.08821145,7.713728907,5.618546374,10.1448854,4.681053364,5.70884279,6.809269233,3.08769666
5_cell_C04_fld2_10,8.531476727,4.13614971,11.62409362,7.682972099,9.356724788,6.298617135,7.872560711,8.487909323,2.924940633,6.722164997,5.581101335,9.60039032,5.327960421,10.43026967,8.181901507,10.40942003,7.152201173,5.646675741,9.769068081,5.656792352,5.669192287,6.801984208,4.241341718
5_cell_C04_fld2_11,9.294947368,3.613802438,11.70811045,7.748074647,9.516919513,8.198320863,7.991609962,9.613771759,1.898995778,7.552495883,6.805938481,9.672349811,5.267122966,11.2825021,8.551240778,10.8175308,7.515295365,6.057972963,10.20829436,3.55461396,5.787928529,6.474359895,3.458361219
5_cell_C04_fld2_12,8.465767622,3.392445907,8.979757927,7.536736399,7.840556384,6.291779315,6.875674257,8.559698214,2.080983535,5.855354518,7.491541603,8.759660409,5.165805648,8.9810898,5.862136425,8.389662967,6.335304122,4.85735226,9.338078913,2.954762136,4.453150411,5.070803037,2.829113009
5_cell_C04_fld2_13,9.336911772,5.349244622,11.16719001,7.897183331,9.279071507,8.248901661,8.363015843,9.185252359,2.983566856,7.296507447,7.202837305,9.256349662,5.504730678,10.98898978,8.683178225,10.83527874,7.302199998,7.271882751,9.978900846,3.952221357,5.819107981,6.605191274,3.729784421
5_cell_D07_fld8_3,8.678903124,3.867762783,10.99942349,7.561547658,9.152969083,5.478483718,7.385725607,9.691247709,2.744025308,7.587855154,4.981853469,9.893947785,7.523706252,11.24158526,8.984473497,10.97190209,10.17857843,7.748358336,10.73388333,4.716202373,6.378623475,5.579714523,2.866379896
5_cell_D07_fld8_4,9.073621343,5.182721388,11.6305979,7.475920277,8.986036091,7.232659756,6.688177643,10.07766246,3.705652326,7.981845911,6.435723734,9.897032285,7.106586927,12.35301352,10.49437313,12.41882443,12.08064629,7.978410681,11.0949055,5.679139445,7.544693775,7.409032265,5.845800861
5_cell_D07_fld8_5,8.331473786,4.094374892,10.86486188,7.144761891,8.552631015,6.713211486,6.367887169,8.464801566,2.316534294,6.577857264,7.858991741,8.978249511,6.285412295,10.01329309,7.681775759,9.794327762,9.702303016,6.514844379,9.726296273,3.710498395,5.776045428,6.059326867,3.564213865
5_cell_D07_fld8_6,8.188959342,3.44164325,9.160073035,6.697630354,9.197338064,6.126984637,6.700721159,8.396392707,3.023571923,6.769629099,5.221431909,9.296038269,6.728165476,10.73427276,8.566771347,10.57908785,9.781124808,7.482068509,10.46446195,1.96371034,6.306664355,6.225787125,3.340301468
5_cell_D07_fld8_7,8.999172851,4.974473844,10.045275,6.840782805,9.77401611,6.647206595,7.268964284,8.862750436,2.743613433,7.845454005,4.940926156,9.417145048,6.936262128,10.40111308,8.484476448,10.37364482,10.27134964,7.775783311,10.23528374,4.686326378,6.800771988,7.738194957,3.583428811
5_cell_D07_fld8_8,9.804499841,8.331253143,12.14386942,8.508449168,9.657082775,7.308531333,7.979306147,11.79019677,4.977733053,9.075354508,7.35957468,10.62775922,7.597165094,13.68775348,11.65355968,13.53373085,12.93944517,9.98522214,12.03341667,5.71630157,8.310286094,9.836596086,5.139606701
5_cell_D07_fld8_9,9.242740858,5.228902305,11.78176785,7.810058676,10.05962148,7.14712325,7.815525203,11.00390931,3.89623274,8.392037951,6.210811225,10.3000851,8.049740377,12.02608914,9.701566851,11.81646435,11.23163845,8.469233297,11.36441196,5.100710529,7.339550551,7.866620139,6.448735426
5_cell_D07_fld8_10,7.577150974,4.452398347,9.866242672,7.005483589,8.932332438,3.82064322,6.271407598,8.602161902,2.481149057,6.439606964,5.632768248,9.357799797,6.397778558,10.03140205,7.771557696,9.819590644,9.496263377,7.783406133,10.22882708,4.666965762,5.858315779,4.926788703,2.455366979
5_cell_D07_fld8_11,8.552607769,3.741424953,10.47021111,6.854474502,8.710112911,5.227723535,6.90591697,9.12633338,2.181805784,7.308319358,6.482874725,9.415274856,7.061758958,10.71924291,8.450263213,10.57095377,9.759050457,7.171364336,10.30358764,4.310165412,6.162176876,5.461030738,1.75615804
5_cell_D07_fld8_12,8.203419445,5.162419552,9.93368275,6.223762921,9.801054636,5.825599148,6.520964267,9.095350292,2.872948802,7.092356529,5.522030442,9.06637803,6.766668869,10.60519418,8.095297358,10.33408816,10.41893969,7.083304005,10.36868679,3.088358885,6.367288332,8.727816563,6.981253853
6_cell_C10_fld3_1,8.277984996,5.063070576,9.505836582,6.827341523,10.96241677,7.685331266,8.511749812,11.11633984,2.84251559,6.246509094,8.059448492,8.662887275,4.502897032,10.46684978,6.855998341,9.396372334,7.924505983,5.810041989,9.317630559,4.116005704,6.154387361,5.941279911,5.910847601
6_cell_C10_fld3_2,8.465830447,3.314938315,7.110149506,7.37932851,9.548482177,7.503211185,8.804897691,9.800554114,1.969180029,5.155477241,8.394534491,7.822571705,3.923882698,7.760832197,4.006811214,6.462070566,7.274414286,4.224181518,9.937396544,1.456233987,4.756281226,4.516396079,5.842213204
6_cell_C10_fld3_3,8.507211596,3.22225552,4.984788546,7.531975794,7.654705365,7.182102872,8.297881974,8.010158976,1.683973547,5.382275939,5.813141262,7.780716171,3.641855102,8.342453331,4.453658666,7.304074465,5.805472024,4.187357352,8.29253252,3.453500555,3.21757331,2.891054078,3.075615536
6_cell_C10_fld3_4,9.401970224,3.594403009,7.661206125,7.021922803,7.954037376,8.696709509,9.313120631,9.559792714,2.107528893,6.600843309,7.814841812,8.460734395,4.337719957,10.36034321,4.968816892,7.769009443,7.102807096,5.591478861,9.427261634,3.351767869,4.840140422,2.88277038,4.066029466
6_cell_C10_fld3_5,7.473189367,5.844353979,7.790805789,6.308373523,10.05870662,6.27974415,7.763843542,10.02890768,0.869001507,5.265197438,8.166529506,7.632465478,4.04282256,8.344276864,4.317898075,6.073700342,6.704450361,4.235949865,9.012126822,0.61611719,5.555106422,4.325789454,5.939793295
6_cell_C10_fld3_6,9.798382303,3.666853586,6.339965446,8.478104354,9.048067077,9.101818001,9.98483241,11.24835456,1.869722367,7.846193947,8.160106953,9.206783332,5.087223336,11.74614372,2.814123977,7.678393876,8.106029797,6.171107628,10.00191682,2.920974897,6.039232722,4.535356948,5.645638964
6_cell_C10_fld3_7,10.62713821,4.313884265,8.640754542,9.675853446,10.31090027,9.657312768,9.950176251,11.74756443,3.693780338,5.584329242,5.801539787,9.340812469,5.497082516,10.85976673,4.795129391,7.062004456,8.563239637,5.973296865,10.70069124,2.664651345,6.037516684,8.015566025,6.435785217
6_cell_C10_fld3_8,8.399651812,5.277790565,8.380179342,9.479088063,9.581551095,7.825640214,8.924491682,9.729844995,3.37133832,6.915419287,5.983868094,8.80127881,5.232748767,9.62326585,4.560197867,7.458105994,7.548751218,5.121091032,9.962489157,2.7351207,5.415258578,2.672621653,5.444590627
6_cell_C10_fld3_9,8.007746458,3.672414781,2.856082947,8.393327585,8.872017491,6.702272763,9.677396533,8.939857031,1.188826685,5.690135936,8.626322644,8.131747567,3.883210559,9.622432961,4.841856986,7.341232673,7.045590355,4.794768902,8.233429357,0.61611719,5.083952962,3.153636724,4.179652945
6_cell_C10_fld3_10,9.222353344,2.958141595,8.372257598,6.834801668,7.739124591,8.256619493,9.448481734,7.228148052,1.374493509,6.10294513,6.451544597,8.293133058,4.119962283,9.102258558,3.771140842,6.383372815,5.905237062,5.283793936,8.563793752,3.131685746,3.420538286,2.472828588,2.006948263
6_cell_E09_fld9_1,8.66626553,6.249231687,8.047303353,6.211186878,9.22279872,6.919086853,7.478994528,10.4702703,3.525328535,6.079853278,6.021020606,8.575067224,4.814946546,9.75365067,8.988932755,10.96526658,7.29073009,5.212294786,9.810479047,4.801482378,5.828491798,1.273768078,6.558671954
6_cell_E09_fld9_2,8.322091517,5.761695913,10.69119448,6.551760091,8.683865715,6.365525126,6.944494351,10.06713125,2.50461241,6.131764788,8.151654539,8.453852871,4.534886355,10.21291807,9.382228159,11.18420902,7.134745419,5.124284241,9.553683407,3.329512831,6.364453185,5.045919723,7.890169466
6_cell_E09_fld9_3,8.639752992,6.778969383,9.934535496,6.549208898,8.878382741,5.509658854,7.087403317,10.955339,3.022867473,6.117876849,9.169469287,8.698520771,5.488396855,9.709228303,9.231685181,11.07288962,7.582375688,5.028823555,9.142828957,4.082744396,6.591366958,1.892381956,7.560726544
6_cell_E09_fld9_4,8.369803737,5.215562925,9.282110347,6.492809858,8.023745132,6.171273913,7.11404958,9.533405357,3.781583507,5.552599645,7.907972657,8.456482613,4.869802904,9.50864494,9.323601683,11.2129649,6.975919002,5.07086262,9.192242048,4.198794354,5.985649671,2.951240599,5.889868862
6_cell_E09_fld9_5,7.984028539,5.109365569,9.439822936,6.187191004,8.137751982,4.981162942,6.545872886,9.172550999,3.440070293,5.827595267,7.940343548,8.307375744,4.743331363,9.5708551,9.365866062,11.324146,7.336293509,5.133593288,9.641528493,4.300118199,5.482129977,4.634089767,4.98623626
6_cell_E09_fld9_6,6.985086244,3.338730198,9.352159604,6.266079232,8.66230687,2.835889885,6.280244503,8.387919245,2.450077954,5.011702545,6.217683277,7.955352562,4.234137563,8.88747493,8.950113019,10.75472982,6.912659826,4.614961143,9.410021479,4.245240542,5.089335889,6.138428783,3.318136082
6_cell_E09_fld9_7,8.04143394,6.147188672,10.89901314,7.68927711,9.444872072,4.534519797,8.253633541,10.55083184,4.036588706,7.274649233,5.740542344,8.980603332,5.925897864,10.69470138,9.716428607,11.69718866,8.166184077,6.019198761,10.28625382,4.092166967,6.586928889,7.637121991,5.587484505
6_cell_E09_fld9_8,7.10255285,4.669647741,8.762054148,6.523898047,9.034451019,3.514463994,6.489256779,9.022240192,3.375626126,5.151884414,7.418727229,8.035852148,3.930773505,9.051129083,9.126020636,10.94422695,6.798319597,4.530247108,8.972590281,4.438923332,5.827511573,6.473689698,5.055817219
6_cell_E09_fld9_9,9.563181738,4.63442949,10.38271467,6.766518641,8.014446133,6.992370351,8.213301777,10.08638963,3.592970696,6.552414605,8.653611222,8.73065873,5.069458337,10.39136513,9.491955911,11.3419747,7.562303575,5.272985757,9.35119712,4.885327097,5.662490339,1.325237267,5.437748686
6_cell_E09_fld9_10,9.003520822,5.496906835,7.323838041,6.715672805,7.679922398,6.685946456,7.394140024,8.882782756,3.751333921,6.089854624,7.014835467,8.415525586,4.883240317,9.679158999,9.299574966,11.19224026,6.854823039,4.682036881,9.018876548,4.685123392,5.115697104,0.533258566,6.113525445
6_cell_E05_fld3_3,8.641135065,4.06849843,10.70327972,7.019553165,9.436600262,5.983372398,9.303647457,8.247695561,1.761627642,6.071222474,6.895706325,9.474439972,4.370328034,11.32367345,7.641559277,9.109032686,6.88926827,6.453410252,8.976768584,3.424096496,4.93393022,6.324482223,4.582861871
6_cell_E05_fld3_4,7.946179072,3.708201611,6.065758514,7.081033502,9.701767362,5.345184563,8.388975219,4.134210935,2.143665162,6.575741551,7.340174713,9.632436839,4.588266532,11.67927854,7.339138301,9.369538559,5.765689397,6.257831869,8.488549024,0.61611719,3.877388376,5.61034268,3.677217184
6_cell_E05_fld3_5,9.241188092,4.130269282,8.320208849,6.951477306,8.246900036,7.164007781,9.008198188,8.144450352,2.411968326,6.436693523,7.976704778,9.129114055,4.389986795,11.60949941,7.378263895,9.460087159,7.591314385,6.766048522,9.169192785,2.43010024,5.083591154,6.531550834,2.967272179
6_cell_E05_fld3_6,7.163926444,5.253609148,10.74413107,6.654928979,8.813008691,4.695863539,7.463704198,8.894765831,3.577602194,6.388154984,4.993992433,9.454507266,3.846633215,11.31310765,6.371136071,8.772280209,6.951318239,5.839981095,8.986522173,4.595110497,5.310950833,6.041225902,6.109028532
6_cell_E05_fld3_8,9.238247581,3.91927796,8.107221988,6.748153545,8.638886855,7.395859331,9.166234273,6.052378634,1.900966439,5.497416637,7.285251473,9.246872284,4.54939878,11.41971867,8.053958755,10.45219618,5.653974173,6.235599158,8.240768654,0.61611719,3.649451012,6.098994025,2.826041632
6_cell_E05_fld3_9,8.743251956,4.062103596,9.806842931,7.273563585,8.375011463,7.393403563,9.284235141,10.75447063,2.94817931,5.644779397,6.633569844,9.061460967,4.609881599,11.29759124,7.449879764,9.352521001,7.299378224,5.946344442,8.814381645,2.723561283,5.864197014,4.264888555,6.336546132
6_cell_E05_fld3_10,9.345892984,3.743446274,11.12655166,7.057682454,9.223272787,7.564330059,9.116634347,8.861367368,4.091820147,8.470996825,7.144938253,9.633851937,4.47841936,11.85557688,9.432037459,11.65867003,6.676656539,5.985935347,8.813996035,3.679415649,4.695748804,6.430035479,3.042076007
6_cell_E05_fld3_11,9.523269988,4.705978715,9.305562659,7.115402241,9.471006292,7.899584027,9.145668386,9.819245771,3.018673089,7.608646908,7.24694667,9.775912742,4.87551282,12.28072405,8.323813567,10.75476521,7.322391222,6.118172115,9.47413448,1.788740084,5.387379623,7.080809615,3.626072766
6_cell_E05_fld3_12,9.161357111,4.468488723,9.188530272,6.301873047,10.79866008,7.222659706,8.666915596,8.114171209,1.187916261,4.620914807,7.223172822,8.515551509,4.718462298,10.62925343,7.386501269,9.167467327,9.19113837,5.578509896,8.958112294,3.223236421,4.773846482,8.744430214,1.523496689
6_cell_E05_fld3_13,9.513793332,10.3221889,10.39583632,7.310840531,8.076172982,8.08758795,9.397651619,9.421689101,2.909089077,6.085749478,6.12135381,9.19455004,4.930043877,11.50818147,8.876291412,10.92799837,7.349788379,6.767728108,9.658806136,2.134413521,5.876547449,7.305258335,3.189987616
6_cell_E08_fld8_1,9.705640839,5.65894109,8.862259996,7.229772014,9.019186786,8.036168516,8.588226744,9.139290123,3.215543196,7.296883581,7.551131828,9.232951449,4.975867491,10.33041103,9.272230899,11.05184424,7.128823871,5.931704931,9.447692413,2.578438057,5.972349692,5.650581315,5.747049016
6_cell_E08_fld8_4,9.516541203,4.909855374,10.03668492,7.960454322,8.701231987,7.98854849,7.071965126,9.016146659,2.486786819,7.268521376,6.900960903,8.693372191,4.986406884,9.581881868,9.119254549,10.88774899,6.224144537,4.742670352,8.631662541,2.874095122,4.424252915,6.228856971,4.88973063
6_cell_E08_fld8_6,9.977231478,4.008705796,10.40875758,7.750769587,9.06232354,8.449045631,7.872787728,8.688342096,3.346263588,8.315270423,8.388584107,9.850937085,5.212664889,11.86291121,9.139374358,10.9713893,7.384739747,6.427791484,9.684093237,2.588730794,6.107964327,6.994453207,3.403679156
6_cell_E08_fld8_7,8.932690963,3.605742135,9.038213302,5.770215967,7.875237981,6.679697195,6.923565359,7.683057299,3.017307625,6.777390151,8.744844863,8.455375589,4.412610669,9.603357997,9.249853594,11.24651591,6.36331228,5.070725219,8.532538572,3.819723564,5.243797628,4.962986175,4.950512857
6_cell_E08_fld8_8,9.110409864,4.791642722,9.938399686,7.43735964,9.405794213,7.097845827,7.356575925,6.708343591,0.927913428,7.276721105,7.519306594,9.404683319,4.609534104,11.40863149,8.490846717,10.11199828,7.135394756,6.084311531,9.456296648,3.966714623,5.322448596,6.45375941,5.139683058
6_cell_E08_fld8_9,10.59257742,4.587891629,10.16054344,8.159575539,9.145579368,8.977072736,9.00471916,11.05773755,3.473502354,8.962461511,7.420544618,9.956344153,5.600958601,12.24357349,9.863684344,11.69034926,8.222968414,6.43503135,10.14503043,2.735756475,6.277435622,6.450939379,4.83007356
6_cell_E08_fld8_11,9.142748569,4.587090506,10.56025189,8.4142513,8.428371513,6.905643526,8.26158936,11.68249767,2.561473768,6.688617097,5.294216094,9.457647886,5.422269287,10.58593977,8.337918161,10.1705892,7.846026091,5.697903905,9.658940303,4.621667022,5.729739211,7.65192528,5.721449337
6_cell_E08_fld8_12,9.021049236,4.682053621,9.584240034,7.308150434,9.280516386,6.660293563,7.965869761,8.367337128,2.953399947,7.742294896,8.836553599,9.031292086,4.763107757,11.01407494,9.609861034,11.53398006,6.887371238,6.009414095,9.168025439,3.978169286,5.948675885,7.219762259,5.221316281
6_cell_E08_fld8_13,9.273356537,6.12491706,8.922075683,7.361611898,8.337813911,7.418153029,7.64157189,10.87437582,2.550631808,7.122651137,7.352688031,9.469837904,5.043808635,10.6201206,9.149380566,11.10670987,7.546546837,5.643106253,9.262333142,4.350989621,5.318156603,5.830199285,7.340994409
6_cell_E08_fld8_14,9.309465944,5.212532989,10.54317545,9.293343895,7.915671309,7.581313774,7.376561607,10.39275619,2.867630658,6.392685716,7.669838287,9.428398014,4.939366101,10.87227849,9.433075816,11.42950667,7.277351164,5.630182628,9.283275141,5.283654603,5.027174749,5.501824866,4.304571283
6_cell_D06_fld2_2,9.057752701,3.78353664,9.017427595,6.548501347,8.832426939,7.337830413,8.590729359,9.204725805,2.053316275,6.480683679,9.649295792,9.171261879,4.275512232,11.60554967,4.950269705,7.499087551,8.002517726,6.121941811,10.42738898,1.780801755,5.72119911,5.731311781,4.743161515
6_cell_D06_fld2_5,7.669574654,1.08585127,9.146881216,5.144192367,10.23784005,5.403350846,7.298812841,6.372907172,1.415061434,4.329382006,8.216964225,8.165428253,3.109445233,6.919632333,4.054720672,6.568840643,5.646396697,4.430119713,8.913368946,1.843765207,4.401136931,7.038659977,3.919543716
6_cell_D06_fld2_6,9.609353145,3.367757545,10.02884787,7.068711091,10.14770947,7.830928475,9.364023472,10.3607433,2.91027231,7.597365971,8.02591102,9.721517695,4.790467274,12.01485148,8.112223542,11.3132856,8.669196432,6.510794492,11.13698999,1.305086476,6.890339638,7.128700527,1.849095636
6_cell_D06_fld2_7,9.115246087,4.167689404,10.29724031,8.412878058,10.11719989,7.189769446,9.207453539,9.930979101,2.04550383,5.93930409,9.680303172,9.362140543,4.295780537,10.23999853,4.933456824,7.205435698,8.239084677,5.374868122,10.52025202,5.109709371,6.196342457,6.372090762,2.957847206
6_cell_D06_fld2_8,8.980641842,3.224786911,10.8792271,7.50389541,8.539488621,6.777438119,8.682237634,8.886466016,3.297355476,6.328008668,8.591293568,9.489382078,4.46982397,11.35914624,6.583271924,9.882767882,7.363903332,6.31939278,9.30154993,4.468313118,5.048206006,6.361946429,3.340306167
6_cell_D06_fld2_9,10.03054453,6.054140129,9.489848887,7.754976417,8.435539665,9.563559667,9.517084007,9.445508712,3.153296784,7.649922134,8.748591528,9.613413657,4.862300375,12.42705177,6.614562338,9.613341283,8.396975414,6.382448517,9.736436215,4.077415155,6.275623346,5.811011116,5.106194647
6_cell_D06_fld2_10,8.375413706,4.785080669,5.986464399,7.75815204,10.27222048,3.82657846,7.759077951,8.263342046,0.915456646,3.304450424,6.119952501,8.979263621,4.379852485,9.634410242,4.285592706,6.73512535,6.938246253,5.710512072,8.955355095,3.863134045,5.364347287,7.800454672,4.229815597
6_cell_D06_fld2_11,8.659721658,3.004600334,7.704460277,6.902842986,8.827892108,6.745911721,8.765434532,8.817192263,1.867719582,5.528169512,6.583337821,9.002692139,4.112332845,10.27748982,4.919487688,7.580379088,6.873598431,5.454637966,8.832993335,2.105631488,5.292293546,4.971808625,3.301270709
