,C_Catenin (Beta),C_Cyclin D1,C_Cytokeratin 18,C_Cytokeratin 7,C_DNA,C_E-cadherin,C_EGFR,C_HES1,C_LC3A/B,C_MET,C_NDG1 (p-T346),C_NFkB (p65),C_PDL1,C_S6,C_S6 (p-S235/S236),C_S6 (p-S240/244),C_STAT1 (alpha-isoform),C_STAT1 (p-S727),C_STAT3,C_Vimentin,C_c-Jun,C_ki67,C_p21 (Waf1/Cip1)
2_cell_C10_fld3_7,9.724475988,5.729338167,10.59099121,7.916008534,10.49675125,8.011773649,9.752379202,10.81028751,5.126238661,8.177239271,5.252953426,9.613891551,6.638836806,12.0714137,10.20744817,12.12072705,9.32568444,7.0282946,10.59599655,3.628953042,7.585673929,9.746210942,6.130282533
2_cell_C10_fld3_8,9.667270297,5.662249797,10.32414473,7.496735266,9.868786709,8.112156303,9.346015619,10.63824071,4.270029461,7.580634622,2.567763325,9.460484698,5.985682372,11.84818461,9.542291216,11.47553123,9.175094082,7.051281274,10.45734927,3.412682455,6.758934618,9.556029155,6.163010772
2_cell_C10_fld3_9,8.395547422,4.209876629,9.516864986,6.735438878,8.478957386,6.842795335,8.54511322,8.802268475,2.829750112,6.524218619,6.508747489,8.748401622,4.193078755,10.68425641,8.079950357,10.12350085,8.00883835,5.839371546,9.19997488,2.259543589,5.719317566,6.773435727,4.009359246
2_cell_C10_fld3_10,8.312742249,3.643046572,10.65768861,7.000000099,8.948520273,6.304191768,7.85495367,9.079028136,2.549515758,6.177635644,5.072531163,8.572973098,4.995979664,9.99311813,6.92650587,9.283180576,7.789054124,5.349013704,9.36908488,4.065270685,5.631603564,6.481896435,2.401572759
2_cell_E09_fld9_1,8.961671339,6.108014674,10.81130406,7.905173658,9.601591286,7.616209785,7.627628313,10.27187834,3.714310214,6.406509822,5.810414527,9.246578071,5.093134933,10.9606121,9.228367901,11.04763619,8.52087273,5.974879167,10.57894446,3.66000509,6.150363414,8.015768308,5.903535421
2_cell_E09_fld9_2,7.332932917,3.739165795,9.748198347,6.409361085,9.788735949,5.111391957,5.784154532,8.533190204,1.985365684,5.187256553,5.222799954,8.344409696,3.206780542,10.01860597,7.208663556,9.339585207,7.193787562,4.92053566,8.999493237,2.591082991,5.645221805,6.885361586,5.112729837
2_cell_E09_fld9_4,8.221750659,3.36100632,10.49055702,6.421627423,9.049732219,6.790188679,6.786195604,8.756524333,2.587834494,5.587568463,5.726278359,8.564557588,5.079815599,9.644044135,6.700137821,8.818570077,7.062591188,4.742441901,8.958017256,3.585229461,5.406423604,6.66733141,3.640196029
2_cell_E09_fld9_6,8.24342985,3.935185072,10.72035928,7.450121798,9.134378752,6.644617578,5.97469163,9.461955906,2.072680923,4.732292105,5.085679571,8.018640938,3.967927934,9.628315614,6.600233927,8.923947775,7.033249457,4.442641412,9.072139232,4.774418645,5.231795287,3.95822077,7.518584191
2_cell_E09_fld9_7,7.820814607,4.559750016,7.745651231,6.448008975,9.712467853,5.644463833,6.502803659,9.067202847,2.555738354,5.543037596,7.672419281,8.297251063,4.3261332,9.832608957,6.805936527,9.049556573,6.860414616,4.336111009,8.84440726,3.096598361,5.424101818,0.186301752,7.404065641
2_cell_E09_fld9_8,8.905532881,5.339583891,11.25452219,8.147803682,9.999678227,7.193531496,8.374820732,9.6588039,3.096864661,6.928311467,7.591799243,9.013725533,5.286753292,10.95391949,8.673148581,10.6474927,8.228518725,5.786912224,10.27003239,3.20028945,6.395062436,7.367319457,6.468576285
2_cell_E09_fld9_9,7.653000082,3.689275985,9.1578905,6.080443407,7.900472826,6.404785003,6.089576534,7.71116609,1.641543882,4.670791632,4.848580951,7.815942047,3.618166575,9.103483301,6.042498121,8.309700831,6.659424673,4.137240799,8.599022525,1.803562693,4.857047255,6.128839917,5.139946831
2_cell_E09_fld9_10,10.72724338,6.521780682,12.01095538,9.298175333,11.12837415,8.711127271,9.131053408,10.88939946,3.964184771,8.204172578,6.212514156,10.10052554,6.946797536,12.30589461,10.85978929,12.61614271,9.711000784,7.500777699,11.45725835,5.992857573,7.382822164,10.2160239,8.957919989
2_cell_E09_fld9_11,8.325214568,3.008050561,9.442953624,6.969860091,9.270299178,6.834989399,6.947321425,9.269445013,2.684472324,5.953170956,6.207684988,8.845376028,5.090211529,9.899593023,6.948197675,9.134446222,7.454623361,4.755165424,9.367697815,2.22697878,5.642132102,6.565835846,3.696537144
2_cell_E09_fld9_12,9.359445629,5.688734479,10.23554045,7.906545389,10.11695166,6.900947554,7.801062,9.683913593,2.822642538,6.726940161,4.324268967,9.202674347,5.400809239,11.12363529,8.811941076,10.84279854,8.37291152,6.305968672,10.16085944,3.923388959,6.33677849,8.874695308,8.003092525
2_cell_E05_fld3_1,8.078168607,3.390918888,10.0662406,6.778426355,9.146590076,5.893115797,8.514229135,9.753994831,2.884948189,6.755567717,6.510523586,9.267581876,5.590528229,11.0317838,8.476000234,10.49839499,9.388173003,5.803024585,9.762086344,3.290354346,6.025527292,5.810544663,3.231764374
2_cell_E05_fld3_2,8.855517545,5.201369734,10.34855437,7.649263567,8.371279081,6.958682218,8.514666225,9.349568341,3.243402339,6.283216986,9.122087854,9.244871142,6.071740995,10.56684984,7.714453371,9.735769364,8.004897794,5.967008964,9.907030712,4.183494628,5.719412199,6.443671585,3.579713863
2_cell_E05_fld3_3,9.528132551,5.598834561,10.6966282,8.046095828,9.733086552,8.477291694,9.500950849,9.876119164,3.674439369,7.96921115,7.260618986,9.795810137,6.207835464,12.24245501,9.97900725,11.89093985,8.782104048,7.636189683,10.87227976,3.669068501,6.612973895,8.01703432,5.492832699
2_cell_E05_fld3_4,8.072177825,3.607725553,9.285256354,6.812730585,8.717732984,6.188823573,8.432751742,8.566429365,2.735647794,6.090841158,7.077761621,8.59922367,4.95297492,10.10092559,6.671397168,9.130028449,7.121210487,5.274358965,9.293655979,2.505682295,5.126732622,5.226724317,2.923262268
